"Maypitaq Piruw suyu kachkan?",	"Piruw llaqta (kastilla simipi: Peru, aymara simipi: Piruw) kachkan Sudamerika nisqapi. Wichay larumanta Ikwadur llaqtawan, Kulumbiya llaqtawan tinkuna, inti lluqsiy larumantataq Brasil llaqtawan Buliwya llaqtawan tinkuna, uray larumantataq Chili llaqtawan Buliwya llaqtawan Titiqaqa quchawan tinkuna, inti chinkay larumantataq Pasiphiku mama quchawan tinkusqa."
"Maypitaq Qusqu llaqta kachkan?", "Qusqu (qillqaypi: Qosqo, kastilla simipi: Cusco) nisqaqa Piruw mama llaqtapi huk hatun llaqtam."
"Haykataq Qusqupi kawsanku", "Qusqu llaqtapi Tawa Pachak Waranqa runan kawsachkanku"
"Raymiykuna Qusqupi", "Inti Raymi"
"Ima chikantaq Piruw?",	"Piruw llaqtaqa iskay chunka tawayuq Dipartamintuyuqmi Suyukuna, huk Pruwinsia Constitucionalwan kuska"
"Ima llaqtakunan kaschkan Piruw suyupi", "hatun riqsisqa llaqtakunaqa kaykunan: Lima, Ariqipa, Truhillu, Chiklayu, Wankayu, Piwra, Qusqu chaymanta Chimputi llaqtawan." 
"Piruw Kimsa hatunsuyukuna?", "Unay pacha conquistasqamanta Piruw llaqtaqa kimsa hatunsuyuman t`ipisqa kaqkasqa: Chala (Costa) nisqa Pasiphiku mama quchawan tinkusqa; chaymantataq Walla (Sierra) nisqa hanan pata llaqtakuna; chaymantataq Urqu (montaña) nisqa Amarumayu sach'a-sach'a suyu (Selva Amazónica) nisqa karqan. "
"Imataq Qusqu?", "Qusqu (qillqaypi: Qosqo, kastilla simipi: Cusco icha Cuzco) nisqaqa Piruw mama llaqtapi huk hatun llaqtam, Qusqu suyup uma llaqtanmi. Qusqu llaqtapi kimsa waranqa runan kawsachkanku"
"Qusqu suyu Wiñay kawsay?", "Inka runakunapawan Tawantinsuyup uma llaqtansi karqan. 1533 watapi Ispaña awqakunas atipaspa thuñirqan. 1983 watamanta 1995 watakama Daniel Estrada Qusqu llaqtap kurakan kaspa, llaqtap tukri sutinta kastilla simipi "Cusco" nisqamanta QSHKS qillqaypi hina <br>Qosqo</br> nisqaman t'ikrarqan. Llapan mamallaqtamanta runakuna samun kuyaqnin."
"Imataq Tawantinsuyu?", "Tawantinsuyu nisqaqa Inkakunap mama llaqtankus karqan, tawantin suyuyuq kaq. Qusqu llaqtas uma llaqtan kaptin"
"Tawantinsuyu suyukuna?", "Chinchaysuyu, Antisuyu, Kuntisuyu, Qullasuyu"
"Imataq Internet", "Internet - inlish simipi Interconnected Networks: T'inkinakusqa llikakuna - lliw tiksimuyuntinpi antañiqiq llikakunap ancha hatun llikanmi"
"Imataq Antañiqiq", "Antañiqiq icha Kumputadura (inlish simipi: computer, kastilla simipi: computadora, ordenador) nisqaqa willakunata (infurmasyun nisqakunata) wakichisqawan (prugramisqawan) yupana llamk'anawan - wakichi (prugrama nisqawan) - llamkapuyta atiq, pinchikillawan llamk'aq llamk'anam."
"Imataq pinchikilla", "Pinchikilla (kastilla simipi: electricidad) huk micha rikch'aqmi. Pinchikillataqa tuta k'anchanapaqmi"
"Imataq Google", "Google nisqaqa Google Inc. sutiyuq ruruchinap kamachisqan, lliwmanta aswan hatun internet maskanam."
"Imataq Tukuy", "Runa simipi Tukuy ñinanmi, lliw, mana imapas puchuptin, mana pipas puchuptin. hina, Tukuytam munani, ama imapas puchunchu."